ID_INDICADOR,SUBCOMPONENTE,ID_TEXTO_MEJORA,LIMITE_INFERIOR,LIMITE_SUPERIOR,TEXTO_MEJORA
1,1,0,0,0,"Indicar al dueño de la propiedad que debe instalar un sistema de tratamiento de aguas negras.
En caso de que el dueño no responda en un periodo de tres meses, trasladar el caso al Ministerio de Salud y Municipalidad."
1,1,1,1,1,Mantener un plan de vigilancia para identificar la descarga de residuales en los caños o canales de conducción de agua lluvia ni ríos o quebradas.
2,1,0,0,0,"Mantener vigilancia permanente de las aguas grises, para el control de descarga de aguas grises en los caños de recolección y transporte de aguas lluvias. "
2,1,1,1,1,"Elaborar e implementar un programa de educación ambiental con el fin de sensibilizar a la comunidad en el tema del uso racional del agua, de forma tal que se reduzca la producción de aguas grises (ducha, lavamanos, lavado de ropa y platos, limpieza de la vivienda, etc).  
En el lavado de utensilios de cocina se debe evitar la descarga de alimentos por el fregadero y así controlar la presencia de roedores y olores. 
En coordinación la Municipalidad se deben iniciar acciones para la construcción de un alcantarillado sanitario con planta de tratamiento de aguas residuales domésticas.  
En zonas rurales incentivar el uso de tratamientos individuales de aguas grises, como por ejemplo biojardineras."
3,1,0,0,0,"Realizar las gestiones ante la Municipalidad respectiva para la construcción de un sistema de alcantarillado pluvial, separándolo del sistema de alcantarillado sanitario, de forma que su funcionamiento sea independiente.  "
3,1,1,1,1,"Vigilar junto con la Municipalidad, la operación y mantenimiento los sistemas de recolección y descarga de las aguas pluviales ."
4,1,0,0,0," Iniciar acciones en coordinación con la Municipalidad respectiva, para implementar un sistema de alcantarilllado sanitario con planta de tratamiento de aguas residuales"
4,1,1,1,1," Vigilar junto con el responsable directo de la operación y mantenimiento de la planta de tratamiento de aguas residuales, que la misma, tenga un adecuado funcionamiento de acuerdo con la normativa nacional."
5,1,0,0,75,"Si el porcentaje de liquidez es menor al 75 %:
1)	se debe realizar una revisión de tarifas del sistema de acueducto, para aumentar la liquidez de su ASADA, solictar asesoria al AyA.
2)	Buscar alianza con otras ASADAs cercanas, para relizar actividades en conjunto que disminuyan gastos. Por ejemplo compartir la Secretaria, Fontanero, compras de materiales e insumos. _x000D_
3)	Realizar gestiones para accesar recursos no reembolsables de cooperación internacional y nacional. Recomendaciones para la condición.
4)	Buscar asesorías contables y administrativas para mejorar la liquidez de su ASADA.
5)	Continuar vigilante de sus sistema administrativo y contable, para que se mantenga su liquidez igual al 100%, mostrando una sostenibilidad para el funcionamiento de su acueducto."
6,2,0,0,90," Si tiene menos del 90% en recolección de residuos sólidos no valorizables, enviar recordatorio a la  Municipalidad de su Cantón de acuerdo a la ley GIR con copia al Ministerio de Salud. Con el objetivo de alcanzar el 100 % de cobertura buscar alianzas para fortalecer la educación ambiental.                                                      "
7,2,0,0,0,"Iniciar gestiones con la Municipalidad, para que se implemente la recolección de residuos sólidos valorizables en su comunidad.
 Mantener campañas de educación ambiental a su comunidad en el tema de la gestión integral de residuos sólidos valorizables."
7,2,1,1,1,"Mantener una comunicación eficaz con la Municpalidad respectiva de forma tal, que el sistema de recolección de residuos sólidos valorizables se mantenga.  "
8,2,0,0.8,6,"Si el indice de residuos sólidos per capita es superior al 0,8 Kg-persona-dia se debe solicitar a la Municipalidad que identifique el ingreso de materiales provenientes de empresas, comercios, agroindustria e instituciones que están mezclandose con los RS Municipales ordinarios. 
También que se implemente planes de educación ambiental para  aumentar la recuperación de materiales valorizables que están mezclándose con los residuos sólidos.  
La ASADA en coordinanción con la Municipalidad, podría apoyar en campañas de educación ambiental en su comunidad."
9,2,0,0,100,"Si la inversión anual en Gestión Integral de Residuos Sólidos (GIRS) por persona por año en el cantón es inferior a 100 US $  con el objetivo de evitar contaminación del suelo es necesario que la Municipalidad aumente los montos, por lo cual se recomienda a la ASADA enviar a la municipalidad una nota solicitándole revise los montos asignados en la Gestión Integral de los Residuos. "
